Model,Dataset,Metric,Value,Split
GBDT,Test,RMSE,9.116097,19
GBDT,Test,MAE,6.162807,19
GBDT,Test,R2,0.966516,20
GBDT,Test,RMSE,11.221801,20
GBDT,Test,MAE,6.494904,20
GBDT,Test,R2,0.938776,21
GBDT,Test,RMSE,15.045527,21
GBDT,Test,MAE,6.361131,21
GBDT,Test,R2,0.919969,22
GBDT,Test,RMSE,17.968436,22
GBDT,Test,MAE,8.630953,22
GBDT,Test,R2,0.984502,23
GBDT,Test,RMSE,7.051554,23
GBDT,Test,MAE,4.625970,23
GBDT,Test,R2,0.968734,24
GBDT,Test,RMSE,10.314875,24
GBDT,Test,MAE,5.763507,24
GBDT,Test,R2,0.927875,25
GBDT,Test,RMSE,17.381401,25
GBDT,Test,MAE,9.049180,25
GBDT,Test,R2,0.942349,26
GBDT,Test,RMSE,14.071842,26
GBDT,Test,MAE,6.918511,26
GBDT,Test,R2,0.924730,27
GBDT,Test,RMSE,15.197216,27
GBDT,Test,MAE,7.776241,27
GBDT,Test,R2,0.925952,28
GBDT,Test,RMSE,17.354154,28
GBDT,Test,MAE,8.575794,28
GBDT,Test,R2,0.896840,29
GBDT,Test,RMSE,20.473720,29
GBDT,Test,MAE,8.495216,29
GBDT,Test,R2,0.931612,30
GBDT,Test,RMSE,17.228889,30
GBDT,Test,MAE,8.197339,30
GBDT,Test,R2,0.862502,31
GBDT,Test,RMSE,23.080464,31
GBDT,Test,MAE,9.261260,31
GBDT,Test,R2,0.956224,32
GBDT,Test,RMSE,12.879012,32
GBDT,Test,MAE,8.178947,32
GBDT,Test,R2,0.980563,33
GBDT,Test,RMSE,8.919188,33
GBDT,Test,MAE,5.932946,33
GBDT,Test,R2,0.961842,34
GBDT,Test,RMSE,11.755190,34
GBDT,Test,MAE,6.226218,34
GBDT,Test,R2,0.756769,35
GBDT,Test,RMSE,27.900374,35
GBDT,Test,MAE,11.324427,35
GBDT,Test,R2,0.952157,36
GBDT,Test,RMSE,12.480277,36
GBDT,Test,MAE,8.014762,36
GBDT,Test,R2,0.903809,37
GBDT,Test,RMSE,17.551744,37
GBDT,Test,MAE,9.340663,37
GBDT,Test,R2,0.845920,38
GBDT,Test,RMSE,24.720533,38
GBDT,Test,MAE,9.262522,38
GBDT,Test,R2,0.975452,39
GBDT,Test,RMSE,9.600000,39
GBDT,Test,MAE,6.065595,39
GBDT,Test,R2,0.982467,40
GBDT,Test,RMSE,8.993421,40
GBDT,Test,MAE,6.127634,40
GBDT,Test,R2,0.921528,41
GBDT,Test,RMSE,17.956786,41
GBDT,Test,MAE,7.178699,41
GBDT,Test,R2,0.955588,42
GBDT,Test,RMSE,12.888651,42
GBDT,Test,MAE,7.710353,42
GBDT,Test,R2,0.961878,43
GBDT,Test,RMSE,12.709035,43
GBDT,Test,MAE,6.749374,43
GBDT,Test,R2,0.971827,44
GBDT,Test,RMSE,10.501361,44
GBDT,Test,MAE,6.742544,44
GBDT,Test,R2,0.990792,45
GBDT,Test,RMSE,6.289360,45
GBDT,Test,MAE,4.580597,45
GBDT,Test,R2,0.920142,46
GBDT,Test,RMSE,15.983957,46
GBDT,Test,MAE,7.899155,46
GBDT,Test,R2,0.881434,47
GBDT,Test,RMSE,18.702010,47
GBDT,Test,MAE,8.037994,47
GBDT,Test,R2,0.971342,48
GBDT,Test,RMSE,12.112987,48
GBDT,Test,MAE,8.021702,48
GBDT,Test,R2,0.988022,49
GBDT,Test,RMSE,6.869111,49
GBDT,Test,MAE,4.789248,49
RF,Train,R2,0.988982,0
RF,Train,RMSE,6.655375,0
RF,Train,MAE,3.409927,0
RF,Train,R2,0.989265,1
RF,Train,RMSE,6.341023,1
RF,Train,MAE,3.293830,1
RF,Train,R2,0.990854,2
RF,Train,RMSE,5.900966,2
RF,Train,MAE,3.304243,2
RF,Train,R2,0.988813,3
RF,Train,RMSE,6.668267,3
RF,Train,MAE,3.479789,3
RF,Train,R2,0.990656,4
RF,Train,RMSE,6.035366,4
RF,Train,MAE,3.293264,4
RF,Train,R2,0.990128,5
RF,Train,RMSE,6.043993,5
RF,Train,MAE,3.256142,5
RF,Train,R2,0.991239,6
RF,Train,RMSE,5.708867,6
RF,Train,MAE,3.224951,6
RF,Train,R2,0.992021,7
RF,Train,RMSE,5.408757,7
RF,Train,MAE,3.106516,7
RF,Train,R2,0.993711,8
RF,Train,RMSE,4.962596,8
RF,Train,MAE,3.009881,8
RF,Train,R2,0.992809,9
RF,Train,RMSE,5.244338,9
RF,Train,MAE,3.036398,9
RF,Train,R2,0.991981,10
