carbon_precursors,MgO_precursors,Mg_loading_method,act1_type,act2_type,carb1_type,carb2_type,post_treatment_type,SBET_m2_g,Vmicro_cm3_g,MgO_mass_ratio,temperature_C,pressure_bar,act1_temp_C,act1_duration_h,act2_temp_C,act2_duration_h,carb1_temp_C,carb1_duration_h,carb2_temp_C,carb2_duration_h,Vmeso_cm3_g,microporosity,MgO_surface_density,T_lnP,inv_T_K
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.46,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-206.23441889554462,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.48,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-194.8515218737295,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.51,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-178.62001457213023,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.53,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-168.31124398361558,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.56,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-153.54278249363975,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.59,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-139.53201913168036,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.61,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-130.57547902758037,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.64,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-117.66835353065386,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.66,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-109.39044731600475,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.69,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-97.42576093686476,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.71,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-89.73088589341165,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.74,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-78.58035809020394,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.76,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-71.3917853233134,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.79,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-60.95166104147638,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.81,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-54.20687391241639,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.84,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-44.392045592317224,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.86,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-38.03943369214761,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.89,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-28.779224851935247,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.91,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-22.775686481701783,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.94,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-14.01076336195944,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.97,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-5.518369503780441,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.99,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,0.0,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,1.0,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,2.717932872542864,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.03,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-959.7078271844539,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.05,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-838.8184052020048,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.08,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-717.9289832195557,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.1,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-658.0990153675152,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.13,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-586.19654812756,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.15,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-546.3841634165586,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.18,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-495.1470093138752,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.2,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-465.30712614511083,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.23,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-425.49474143410936,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.25,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-401.6300081412445,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.28,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-369.07223924188213,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.31,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-339.72233153261095,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.33,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-321.64710053804083,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.36,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-296.43631529747387,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.38,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-280.74058615879534,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.41,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-258.64529426116314,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.43,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-244.77535159961985,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.46,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-225.10998350249542,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.48,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-212.6852690706661,0.0033540164346805303
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,25.0,0.51,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-194.96817625729685,0.0033540164346805303
